GOP,GEP,Regime,Length_Ratio,High_Gap_Frac,N_Seqs,MSA_Length,Mean_Raw_Length,Mean_CR_Score
1.53,0.0,GOP=1.53 / GEP=0.0,2.5513096292547135,0.620889748549323,195,1034,405.28205128205127,0.7888638564845304
1.53,0.123,GOP=1.53 / GEP=0.123,2.3958623307604707,0.5911431513903193,195,971,405.28205128205127,0.7897227201174352
2.0,0.0,GOP=2.0 / GEP=0.0,2.571048968746046,0.6170825335892515,195,1042,405.28205128205127,0.7848739432069295
2.0,0.123,GOP=2.0 / GEP=0.123,2.361318486650639,0.587251828631139,195,957,405.28205128205127,0.7884978851864718
